,Barbecued Chicken,Red Peppers,Green Peppers,Tomatoes,Red Onions,Barbecue Sauce,Chicken,Artichoke,Spinach,Garlic,Jalapeno Peppers,Fontina Cheese,Gouda Cheese,Mushrooms,Asiago Cheese,Alfredo Sauce,Pesto Sauce,Corn,Cilantro,Chipotle Sauce,Pineapple,Thai Sweet Chilli Sauce,Bacon,Pepperoni,Italian Sausage,Chorizo Sausage,Sliced Ham,Mozzarella Cheese,Capocollo,Goat Cheese,Oregano,Anchovies,Green Olives,Kalamata Olives,Feta Cheese,Beef Chuck Roast,Brie Carre Cheese,Prosciutto,Caramelized Onions,Pears,Thyme,Â‘Nduja Salami,Pancetta,Friggitello Peppers,Calabrese Salami,Genoa Salami,Prosciutto di San Daniele,Arugula,Coarse Sicilian Salami,Luganega Sausage,Onions,Soppressata Salami,Artichokes,Peperoncini verdi,Provolone Cheese,Smoked Gouda Cheese,Romano Cheese,Blue Cheese,Ricotta Cheese,Gorgonzola Piccante Cheese,Parmigiano Reggiano Cheese,Eggplant,Zucchini,Sun-dried Tomatoes,Plum Tomatoes
0,55,358,110,592,428,55,194,50,200,616,130,70,50,182,71,21,59,80,80,80,103,57,64,187,20,20,47,237,154,78,33,30,124,78,103,41,5,5,5,5,5,21,21,21,44,33,31,31,37,37,37,20,119,46,42,42,42,42,52,52,52,18,48,38,20
1,55,358,110,592,428,55,194,50,200,616,130,70,50,182,71,21,59,80,80,80,103,57,64,187,20,20,47,237,154,78,33,30,124,78,103,41,5,5,5,5,5,21,21,21,44,33,31,31,37,37,37,20,119,46,42,42,42,42,52,52,52,18,48,38,20
2,55,358,110,592,428,55,194,50,200,616,130,70,50,182,71,21,59,80,80,80,103,57,64,187,20,20,47,237,154,78,33,30,124,78,103,41,5,5,5,5,5,21,21,21,44,33,31,31,37,37,37,20,119,46,42,42,42,42,52,52,52,18,48,38,20
3,55,358,110,592,428,55,194,50,200,616,130,70,50,182,71,21,59,80,80,80,103,57,64,187,20,20,47,237,154,78,33,30,124,78,103,41,5,5,5,5,5,21,21,21,44,33,31,31,37,37,37,20,119,46,42,42,42,42,52,52,52,18,48,38,20
4,55,358,110,592,428,55,194,50,200,616,130,70,50,182,71,21,59,80,80,80,103,57,64,187,20,20,47,237,154,78,33,30,124,78,103,41,5,5,5,5,5,21,21,21,44,33,31,31,37,37,37,20,119,46,42,42,42,42,52,52,52,18,48,38,20
5,55,358,110,592,428,55,194,50,200,616,130,70,50,182,71,21,59,80,80,80,103,57,64,187,20,20,47,237,154,78,33,30,124,78,103,41,5,5,5,5,5,21,21,21,44,33,31,31,37,37,37,20,119,46,42,42,42,42,52,52,52,18,48,38,20
6,55,358,110,592,428,55,194,50,200,616,130,70,50,182,71,21,59,80,80,80,103,57,64,187,20,20,47,237,154,78,33,30,124,78,103,41,5,5,5,5,5,21,21,21,44,33,31,31,37,37,37,20,119,46,42,42,42,42,52,52,52,18,48,38,20
7,55,358,110,592,428,55,194,50,200,616,130,70,50,182,71,21,59,80,80,80,103,57,64,187,20,20,47,237,154,78,33,30,124,78,103,41,5,5,5,5,5,21,21,21,44,33,31,31,37,37,37,20,119,46,42,42,42,42,52,52,52,18,48,38,20
8,55,358,110,592,428,55,194,50,200,616,130,70,50,182,71,21,59,80,80,80,103,57,64,187,20,20,47,237,154,78,33,30,124,78,103,41,5,5,5,5,5,21,21,21,44,33,31,31,37,37,37,20,119,46,42,42,42,42,52,52,52,18,48,38,20
9,55,358,110,592,428,55,194,50,200,616,130,70,50,182,71,21,59,80,80,80,103,57,64,187,20,20,47,237,154,78,33,30,124,78,103,41,5,5,5,5,5,21,21,21,44,33,31,31,37,37,37,20,119,46,42,42,42,42,52,52,52,18,48,38,20
10,55,358,110,592,428,55,194,50,200,616,130,70,50,182,71,21,59,80,80,80,103,57,64,187,20,20,47,237,154,78,33,30,124,78,103,41,5,5,5,5,5,21,21,21,44,33,31,31,37,37,37,20,119,46,42,42,42,42,52,52,52,18,48,38,20
11,55,358,110,592,428,55,194,50,200,616,130,70,50,182,71,21,59,80,80,80,103,57,64,187,20,20,47,237,154,78,33,30,124,78,103,41,5,5,5,5,5,21,21,21,44,33,31,31,37,37,37,20,119,46,42,42,42,42,52,52,52,18,48,38,20
12,55,358,110,592,428,55,194,50,200,616,130,70,50,182,71,21,59,80,80,80,103,57,64,187,20,20,47,237,154,78,33,30,124,78,103,41,5,5,5,5,5,21,21,21,44,33,31,31,37,37,37,20,119,46,42,42,42,42,52,52,52,18,48,38,20
13,55,358,110,592,428,55,194,50,200,616,130,70,50,182,71,21,59,80,80,80,103,57,64,187,20,20,47,237,154,78,33,30,124,78,103,41,5,5,5,5,5,21,21,21,44,33,31,31,37,37,37,20,119,46,42,42,42,42,52,52,52,18,48,38,20
14,55,358,110,592,428,55,194,50,200,616,130,70,50,182,71,21,59,80,80,80,103,57,64,187,20,20,47,237,154,78,33,30,124,78,103,41,5,5,5,5,5,21,21,21,44,33,31,31,37,37,37,20,119,46,42,42,42,42,52,52,52,18,48,38,20
15,55,358,110,592,428,55,194,50,200,616,130,70,50,182,71,21,59,80,80,80,103,57,64,187,20,20,47,237,154,78,33,30,124,78,103,41,5,5,5,5,5,21,21,21,44,33,31,31,37,37,37,20,119,46,42,42,42,42,52,52,52,18,48,38,20
16,55,358,110,592,428,55,194,50,200,616,130,70,50,182,71,21,59,80,80,80,103,57,64,187,20,20,47,237,154,78,33,30,124,78,103,41,5,5,5,5,5,21,21,21,44,33,31,31,37,37,37,20,119,46,42,42,42,42,52,52,52,18,48,38,20
17,55,358,110,592,428,55,194,50,200,616,130,70,50,182,71,21,59,80,80,80,103,57,64,187,20,20,47,237,154,78,33,30,124,78,103,41,5,5,5,5,5,21,21,21,44,33,31,31,37,37,37,20,119,46,42,42,42,42,52,52,52,18,48,38,20
18,55,358,110,592,428,55,194,50,200,616,130,70,50,182,71,21,59,80,80,80,103,57,64,187,20,20,47,237,154,78,33,30,124,78,103,41,5,5,5,5,5,21,21,21,44,33,31,31,37,37,37,20,119,46,42,42,42,42,52,52,52,18,48,38,20
19,55,358,110,592,428,55,194,50,200,616,130,70,50,182,71,21,59,80,80,80,103,57,64,187,20,20,47,237,154,78,33,30,124,78,103,41,5,5,5,5,5,21,21,21,44,33,31,31,37,37,37,20,119,46,42,42,42,42,52,52,52,18,48,38,20
20,55,358,110,592,428,55,194,50,200,616,130,70,50,182,71,21,59,80,80,80,103,57,64,187,20,20,47,237,154,78,33,30,124,78,103,41,5,5,5,5,5,21,21,21,44,33,31,31,37,37,37,20,119,46,42,42,42,42,52,52,52,18,48,38,20
21,55,358,110,592,428,55,194,50,200,616,130,70,50,182,71,21,59,80,80,80,103,57,64,187,20,20,47,237,154,78,33,30,124,78,103,41,5,5,5,5,5,21,21,21,44,33,31,31,37,37,37,20,119,46,42,42,42,42,52,52,52,18,48,38,20
22,55,358,110,592,428,55,194,50,200,616,130,70,50,182,71,21,59,80,80,80,103,57,64,187,20,20,47,237,154,78,33,30,124,78,103,41,5,5,5,5,5,21,21,21,44,33,31,31,37,37,37,20,119,46,42,42,42,42,52,52,52,18,48,38,20
23,55,358,110,592,428,55,194,50,200,616,130,70,50,182,71,21,59,80,80,80,103,57,64,187,20,20,47,237,154,78,33,30,124,78,103,41,5,5,5,5,5,21,21,21,44,33,31,31,37,37,37,20,119,46,42,42,42,42,52,52,52,18,48,38,20
24,55,358,110,592,428,55,194,50,200,616,130,70,50,182,71,21,59,80,80,80,103,57,64,187,20,20,47,237,154,78,33,30,124,78,103,41,5,5,5,5,5,21,21,21,44,33,31,31,37,37,37,20,119,46,42,42,42,42,52,52,52,18,48,38,20
25,55,358,110,592,428,55,194,50,200,616,130,70,50,182,71,21,59,80,80,80,103,57,64,187,20,20,47,237,154,78,33,30,124,78,103,41,5,5,5,5,5,21,21,21,44,33,31,31,37,37,37,20,119,46,42,42,42,42,52,52,52,18,48,38,20
26,55,358,110,592,428,55,194,50,200,616,130,70,50,182,71,21,59,80,80,80,103,57,64,187,20,20,47,237,154,78,33,30,124,78,103,41,5,5,5,5,5,21,21,21,44,33,31,31,37,37,37,20,119,46,42,42,42,42,52,52,52,18,48,38,20
27,55,358,110,592,428,55,194,50,200,616,130,70,50,182,71,21,59,80,80,80,103,57,64,187,20,20,47,237,154,78,33,30,124,78,103,41,5,5,5,5,5,21,21,21,44,33,31,31,37,37,37,20,119,46,42,42,42,42,52,52,52,18,48,38,20
28,55,358,110,592,428,55,194,50,200,616,130,70,50,182,71,21,59,80,80,80,103,57,64,187,20,20,47,237,154,78,33,30,124,78,103,41,5,5,5,5,5,21,21,21,44,33,31,31,37,37,37,20,119,46,42,42,42,42,52,52,52,18,48,38,20
29,55,358,110,592,428,55,194,50,200,616,130,70,50,182,71,21,59,80,80,80,103,57,64,187,20,20,47,237,154,78,33,30,124,78,103,41,5,5,5,5,5,21,21,21,44,33,31,31,37,37,37,20,119,46,42,42,42,42,52,52,52,18,48,38,20
30,55,358,110,592,428,55,194,50,200,616,130,70,50,182,71,21,59,80,80,80,103,57,64,187,20,20,47,237,154,78,33,30,124,78,103,41,5,5,5,5,5,21,21,21,44,33,31,31,37,37,37,20,119,46,42,42,42,42,52,52,52,18,48,38,20
31,55,358,110,592,428,55,194,50,200,616,130,70,50,182,71,21,59,80,80,80,103,57,64,187,20,20,47,237,154,78,33,30,124,78,103,41,5,5,5,5,5,21,21,21,44,33,31,31,37,37,37,20,119,46,42,42,42,42,52,52,52,18,48,38,20
32,55,358,110,592,428,55,194,50,200,616,130,70,50,182,71,21,59,80,80,80,103,57,64,187,20,20,47,237,154,78,33,30,124,78,103,41,5,5,5,5,5,21,21,21,44,33,31,31,37,37,37,20,119,46,42,42,42,42,52,52,52,18,48,38,20
33,55,358,110,592,428,55,194,50,200,616,130,70,50,182,71,21,59,80,80,80,103,57,64,187,20,20,47,237,154,78,33,30,124,78,103,41,5,5,5,5,5,21,21,21,44,33,31,31,37,37,37,20,119,46,42,42,42,42,52,52,52,18,48,38,20
34,55,358,110,592,428,55,194,50,200,616,130,70,50,182,71,21,59,80,80,80,103,57,64,187,20,20,47,237,154,78,33,30,124,78,103,41,5,5,5,5,5,21,21,21,44,33,31,31,37,37,37,20,119,46,42,42,42,42,52,52,52,18,48,38,20
35,55,358,110,592,428,55,194,50,200,616,130,70,50,182,71,21,59,80,80,80,103,57,64,187,20,20,47,237,154,78,33,30,124,78,103,41,5,5,5,5,5,21,21,21,44,33,31,31,37,37,37,20,119,46,42,42,42,42,52,52,52,18,48,38,20
36,55,358,110,592,428,55,194,50,200,616,130,70,50,182,71,21,59,80,80,80,103,57,64,187,20,20,47,237,154,78,33,30,124,78,103,41,5,5,5,5,5,21,21,21,44,33,31,31,37,37,37,20,119,46,42,42,42,42,52,52,52,18,48,38,20
37,55,358,110,592,428,55,194,50,200,616,130,70,50,182,71,21,59,80,80,80,103,57,64,187,20,20,47,237,154,78,33,30,124,78,103,41,5,5,5,5,5,21,21,21,44,33,31,31,37,37,37,20,119,46,42,42,42,42,52,52,52,18,48,38,20
38,55,358,110,592,428,55,194,50,200,616,130,70,50,182,71,21,59,80,80,80,103,57,64,187,20,20,47,237,154,78,33,30,124,78,103,41,5,5,5,5,5,21,21,21,44,33,31,31,37,37,37,20,119,46,42,42,42,42,52,52,52,18,48,38,20
39,55,358,110,592,428,55,194,50,200,616,130,70,50,182,71,21,59,80,80,80,103,57,64,187,20,20,47,237,154,78,33,30,124,78,103,41,5,5,5,5,5,21,21,21,44,33,31,31,37,37,37,20,119,46,42,42,42,42,52,52,52,18,48,38,20
40,55,358,110,592,428,55,194,50,200,616,130,70,50,182,71,21,59,80,80,80,103,57,64,187,20,20,47,237,154,78,33,30,124,78,103,41,5,5,5,5,5,21,21,21,44,33,31,31,37,37,37,20,119,46,42,42,42,42,52,52,52,18,48,38,20
41,55,358,110,592,428,55,194,50,200,616,130,70,50,182,71,21,59,80,80,80,103,57,64,187,20,20,47,237,154,78,33,30,124,78,103,41,5,5,5,5,5,21,21,21,44,33,31,31,37,37,37,20,119,46,42,42,42,42,52,52,52,18,48,38,20
42,55,358,110,592,428,55,194,50,200,616,130,70,50,182,71,21,59,80,80,80,103,57,64,187,20,20,47,237,154,78,33,30,124,78,103,41,5,5,5,5,5,21,21,21,44,33,31,31,37,37,37,20,119,46,42,42,42,42,52,52,52,18,48,38,20
43,55,358,110,592,428,55,194,50,200,616,130,70,50,182,71,21,59,80,80,80,103,57,64,187,20,20,47,237,154,78,33,30,124,78,103,41,5,5,5,5,5,21,21,21,44,33,31,31,37,37,37,20,119,46,42,42,42,42,52,52,52,18,48,38,20
44,55,358,110,592,428,55,194,50,200,616,130,70,50,182,71,21,59,80,80,80,103,57,64,187,20,20,47,237,154,78,33,30,124,78,103,41,5,5,5,5,5,21,21,21,44,33,31,31,37,37,37,20,119,46,42,42,42,42,52,52,52,18,48,38,20
45,55,358,110,592,428,55,194,50,200,616,130,70,50,182,71,21,59,80,80,80,103,57,64,187,20,20,47,237,154,78,33,30,124,78,103,41,5,5,5,5,5,21,21,21,44,33,31,31,37,37,37,20,119,46,42,42,42,42,52,52,52,18,48,38,20
46,55,358,110,592,428,55,194,50,200,616,130,70,50,182,71,21,59,80,80,80,103,57,64,187,20,20,47,237,154,78,33,30,124,78,103,41,5,5,5,5,5,21,21,21,44,33,31,31,37,37,37,20,119,46,42,42,42,42,52,52,52,18,48,38,20
47,55,358,110,592,428,55,194,50,200,616,130,70,50,182,71,21,59,80,80,80,103,57,64,187,20,20,47,237,154,78,33,30,124,78,103,41,5,5,5,5,5,21,21,21,44,33,31,31,37,37,37,20,119,46,42,42,42,42,52,52,52,18,48,38,20
48,55,358,110,592,428,55,194,50,200,616,130,70,50,182,71,21,59,80,80,80,103,57,64,187,20,20,47,237,154,78,33,30,124,78,103,41,5,5,5,5,5,21,21,21,44,33,31,31,37,37,37,20,119,46,42,42,42,42,52,52,52,18,48,38,20
49,55,358,110,592,428,55,194,50,200,616,130,70,50,182,71,21,59,80,80,80,103,57,64,187,20,20,47,237,154,78,33,30,124,78,103,41,5,5,5,5,5,21,21,21,44,33,31,31,37,37,37,20,119,46,42,42,42,42,52,52,52,18,48,38,20
50,55,358,110,592,428,55,194,50,200,616,130,70,50,182,71,21,59,80,80,80,103,57,64,187,20,20,47,237,154,78,33,30,124,78,103,41,5,5,5,5,5,21,21,21,44,33,31,31,37,37,37,20,119,46,42,42,42,42,52,52,52,18,48,38,20
51,55,358,110,592,428,55,194,50,200,616,130,70,50,182,71,21,59,80,80,80,103,57,64,187,20,20,47,237,154,78,33,30,124,78,103,41,5,5,5,5,5,21,21,21,44,33,31,31,37,37,37,20,119,46,42,42,42,42,52,52,52,18,48,38,20
